353976,55610074377.72806 130225440115.41382 184374315864.20224 222807522405.32068 282020742261.1732,1112201487.5545611 1302254401.1541383 1843743158.6420224 2228075224.053207 2820207422.611732
583058,16614848948.81615 55627857683.30966 95724704063.28877 128551355285.64764 179632182613.76132,332296978.976323 556278576.8330966 957247040.6328877 1285513552.8564765 1796321826.1376133
682706,2533084575.294504 9291626871.292469 17541639384.08165 24362961201.726257 33952907429.03815,50661691.50589009 92916268.71292469 175416393.8408165 243629612.01726258 339529074.2903815
125054,4254863920.8770413 26732058977.359425 72617368891.31683 116807120272.51947 191214651865.84366,85097278.41754083 267320589.77359426 726173688.9131683 1168071202.7251947 1912146518.6584365
194946,242685333565.8897 926263411291.7694 2041917140739.1094 3055435138085.9062 4760390508375.19,4853706671.317794 9262634112.917694 20419171407.391094 30554351380.859062 47603905083.75191
417413,6770584894.624496 28579646922.395847 58770991578.15669 85770322845.65065 126609851045.81541,135411697.89248994 285796469.2239585 587709915.781567 857703228.4565065 1266098510.4581542
565200,38122536914.89238 105667303056.89241 172025988524.2558 224768530449.78372 306383679246.1092,762450738.2978476 1056673030.5689241 1720259885.242558 2247685304.497837 3063836792.461092
459022,39057433522.86418 81040877310.14426 118075132802.0222 150265197569.52673 210411730467.5493,781148670.4572836 810408773.1014426 1180751328.020222 1502651975.6952674 2104117304.675493
667972,4145452096.3651233 14532049982.263058 24255288362.284233 31815318822.10969 42840997459.110466,82909041.92730246 145320499.82263058 242552883.62284234 318153188.22109693 428409974.5911047
580058,34556053108.74881 81150484180.57494 109974312815.95099 131134975793.7523 163760036542.54065,691121062.1749762 811504841.8057494 1099743128.15951 1311349757.9375231 1637600365.4254065
629643,9451540631.828493 34885842966.95047 66180135231.535805 91446585793.43196 130703523700.16948,189030812.63656986 348858429.6695047 661801352.315358 914465857.9343196 1307035237.001695
681756,8591580836.9122 25741239297.715534 40922985300.9613 51969581003.67783 67495438639.372345,171831616.73824403 257412392.97715536 409229853.00961304 519695810.03677833 674954386.3937235
17339,888879770.5277773 7956119194.0809 26157395010.7716 45995258749.031624 83124108768.0543,17777595.410555545 79561191.940809 261573950.107716 459952587.4903163 831241087.6805431
527231,16173815237.1962 41946652074.58709 58320152638.51074 69160488971.87427 85291195929.77051,323476304.743924 419466520.7458709 583201526.3851074 691604889.7187427 852911959.297705
589677,14684249657.847557 60980016900.007515 132671323397.76585 190642895153.34213 281892081210.41486,293684993.1569511 609800169.0000752 1326713233.9776585 1906428951.5334213 2818920812.1041484
524846,64444601287.02991 189601966572.4824 302790492798.64136 380687132689.51764 505630241302.81696,1288892025.7405982 1896019665.724824 3027904927.9864135 3806871326.8951764 5056302413.02817
436917,21973249062.018955 151317660223.19318 448171613521.3373 757159136743.6614 1299742805345.9844,439464981.2403791 1513176602.2319317 4481716135.213373 7571591367.436614 12997428053.459845
134893,3828061492.8320713 19501763431.7603 44318136197.482956 63864560372.39846 92938965705.82152,76561229.85664143 195017634.317603 443181361.97482955 638645603.7239846 929389657.0582151
40,14103052053.178213 85696154815.58467 205532381152.81653 300258505692.6192 449518582635.80646,282061041.06356424 856961548.1558467 2055323811.5281653 3002585056.9261923 4495185826.358065
610554,33289749563.157238 95696322575.56346 138339908856.68387 166967450469.9835 208758175387.9851,665794991.2631447 956963225.7556347 1383399088.5668387 1669674504.6998348 2087581753.879851
607481,10585816467.229967 39123881177.40772 75500032832.80916 107691379443.27013 158999464046.58713,211716329.34459934 391238811.77407724 755000328.3280916 1076913794.4327013 1589994640.4658713
137898,7413332259.615467 44344173493.278854 112270793709.74388 171765998583.55765 268842010144.7884,148266645.19230935 443441734.93278855 1122707937.0974388 1717659985.8355765 2688420101.447884
